Name,Gender,House,Season,Total
Myrcella Baratheon,Female,Baratheon,6,0
Myrcella Baratheon,Female,Baratheon,7,0
Myrcella Baratheon,Female,Baratheon,8,0
Selyse Florent,Female,,1,0
Selyse Florent,Female,,2,0
Selyse Florent,Female,,3,176
Selyse Florent,Female,,4,292
Selyse Florent,Female,,5,136
Selyse Florent,Female,,6,0
Selyse Florent,Female,,7,0
Selyse Florent,Female,,8,0
Shireen Baratheon,Female,Baratheon,1,0
Shireen Baratheon,Female,Baratheon,2,0
Shireen Baratheon,Female,Baratheon,3,419
Shireen Baratheon,Female,Baratheon,4,146
Shireen Baratheon,Female,Baratheon,5,491
Shireen Baratheon,Female,Baratheon,6,0
Shireen Baratheon,Female,Baratheon,7,0
Shireen Baratheon,Female,Baratheon,8,0
Renly Baratheon,Male,Baratheon,1,581
Renly Baratheon,Male,Baratheon,2,684
Renly Baratheon,Male,Baratheon,3,0
Renly Baratheon,Male,Baratheon,4,0
Renly Baratheon,Male,Baratheon,5,0
Renly Baratheon,Male,Baratheon,6,0
Renly Baratheon,Male,Baratheon,7,0
Renly Baratheon,Male,Baratheon,8,0
Salladhor Saan,Male,,1,0
Salladhor Saan,Male,,2,242
Salladhor Saan,Male,,3,262
Salladhor Saan,Male,,4,0
Salladhor Saan,Male,,5,0
Salladhor Saan,Male,,6,0
Salladhor Saan,Male,,7,0
Salladhor Saan,Male,,8,0
Matthos Seaworth,Male,,1,0
Matthos Seaworth,Male,,2,439
Matthos Seaworth,Male,,3,0
Matthos Seaworth,Male,,4,0
Matthos Seaworth,Male,,5,0
Matthos Seaworth,Male,,6,0
Matthos Seaworth,Male,,7,0
Matthos Seaworth,Male,,8,0
Maester Cressen,Female,,1,0
Maester Cressen,Female,,2,147
Maester Cressen,Female,,3,0
Maester Cressen,Female,,4,0
Maester Cressen,Female,,5,0
Maester Cressen,Female,,6,49
Maester Cressen,Female,,7,0
Maester Cressen,Female,,8,0
Walda Bolton,Female,Bolton,1,0
Walda Bolton,Female,Bolton,2,0
Walda Bolton,Female,Bolton,3,0
Walda Bolton,Female,Bolton,4,1
Walda Bolton,Female,Bolton,5,26
Walda Bolton,Female,Bolton,6,0
Walda Bolton,Female,Bolton,7,0
Walda Bolton,Female,Bolton,8,0
Harald Karstark,Male,,1,0
Harald Karstark,Male,,2,0
Harald Karstark,Male,,3,0
Harald Karstark,Male,,4,0
Harald Karstark,Male,,5,0
Harald Karstark,Male,,6,2
Harald Karstark,Male,,7,0
Harald Karstark,Male,,8,0
Jon Umber,Male,,1,0
Jon Umber,Male,,2,0
Jon Umber,Male,,3,0
Jon Umber,Male,,4,0
Jon Umber,Male,,5,0
Jon Umber,Male,,6,0
Jon Umber,Male,,7,0
Jon Umber,Male,,8,18
Myranda,Female,,1,0
Myranda,Female,,2,0
Myranda,Female,,3,83
Myranda,Female,,4,31
Myranda,Female,,5,408
Myranda,Female,,6,0
Myranda,Female,,7,0
Myranda,Female,,8,0
Locke,Male,,1,0
Locke,Male,,2,0
Locke,Male,,3,478
Locke,Male,,4,258
Locke,Male,,5,0
Locke,Male,,6,0
Locke,Male,,7,0
Locke,Male,,8,0
Walder Frey,Female,Frey,1,260
Walder Frey,Female,Frey,2,0
Walder Frey,Female,Frey,3,666
Walder Frey,Female,Frey,4,0
Walder Frey,Female,Frey,5,0
Walder Frey,Female,Frey,6,489
Walder Frey,Female,Frey,7,206
Walder Frey,Female,Frey,8,0
Lothar Frey,Male,Frey,1,0
Lothar Frey,Male,Frey,2,0
Lothar Frey,Male,Frey,3,83
Lothar Frey,Male,Frey,4,0
Lothar Frey,Male,Frey,5,0
Lothar Frey,Male,Frey,6,67
Lothar Frey,Male,Frey,7,0
Lothar Frey,Male,Frey,8,0
Black Walder Rivers,Female,,1,0
